#TAG,NAME IN REPO (or git url),.GPG (used when tag "R"==PPA is used),PURPOSE (should be a verb phrase to sound right while installing)
S,arandr,,"is a UI for screen adjustment."
S,bc,,"is used for a dropdown calculator."
S,calcurse,,"is a lightweight terminal-based calendar."
S,dosfstools,,"allows your computer to access dos-like filesystems."
S,exfat-utils,,"allows management of FAT drives."
S,sxiv,,"is a minimalist image viewer."
S,ffmpeg,,"can record and splice video and audio on the command line."
S,gnome-keyring,,"serves as the system keyring."
S,neovim,,"a tidier vim with some useful features"
S,mpd,,"is a lightweight music daemon."
S,mpc,,"is a terminal interface for mpd."
S,mpv,,"is the patrician's choice video player."
S,man-db,,"lets you read man pages of programs."
S,ncmpcpp,,"a ncurses interface for music with multiple formats and a powerful tag editor."
S,newsboat,,"is a terminal RSS client."
S,brave-browser,,"is an elegant browser with built-in adblocking, tor and other features."
S,ntfs-3g,,"allows accessing NTFS partitions."
S,unclutter,,"hides an inactive mouse."
S,unrar,,"extracts rar's."
S,unzip,,"unzips zips."
S,youtube-dl,,"can download any YouTube video (or playlist or channel) when given the link."
S,zathura,,"is a pdf viewer with vim-like bindings."
S,zathura-pdf-mupdf,,"allows mupdf pdf compatibility in zathura."
G,https://github.com/lukesmithxyz/st.git,,"is my custom build of suckless's terminal emulator."
S,nextcloud-client,,"the self hosted opensource alternative to googleDrive"
S,kpcli,,"my password manager of choice"
R,https://brave-browser-apt-release.s3.brave.com/brave-core.asc,brave-browser-release.gpg,"brave browsers gpg"

